"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0784313725487","18.6486486486489","12.1298405466969","3.96140172676478","7.96287174444331","5.88235395341866","7.30769324531406","8.20390129312089","2.54714368704694","1.18578851134656","7.04687499241221","1.99198444906199","1.2380418420716","7.61658911307723","4.19596280335676","-0.957771005659552","1.12087912087912","7.28102586394262","-0.384927066450572","1.13890583689242","3.09672230042229","1.83343085625123","-11.6835855200153","-2.73259596616786","3.36677814938685","-1.03537532355479","6.42981691368789","-0.0204792135982075","3.54362965997541","2.11671612265083","5.48237117396357","5.257854912764","0.635029787882658","-18.5890992393899","17.172508597974","",
"Africa Eastern and Southern","AFE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","0.254879260029611","7.9658251918038","5.14821694333591","4.57932773446323","5.34620984118716","3.93591221588794","5.26054634413767","4.01070801493813","5.27990237260386","4.68321200928732","5.40075802738274","2.16486791650607","4.4396594343693","5.89300022736863","1.74777178849286","2.8580527138464","1.25390912577772","1.07039375401155","2.80722492691967","5.39754029889615","4.30654401607551","0.520133297366669","0.173313775186742","3.02093965864547","-0.429627896075559","2.28851769287985","4.23741683989729","4.01292048726502","2.90429197871396","-0.0185342475003978","0.13690949213607","-1.9796222643578","-0.365018757198371","1.98476244937385","4.33523516099415","5.45014565107545","4.43327884327852","1.84234510448378","2.65327761836691","3.35376022785931","3.62724408709248","3.90157559514819","3.10195819753795","5.50783026741306","6.1121549203373","6.55830577892193","6.57708583584092","4.31248882612027","0.663960952807358","5.15867597136214","3.70690633342066","0.845015614882769","4.21959903629781","3.99468191524768","2.97410128266229","2.22452440963103","2.54697327258432","2.51398356560644","2.0877654132367","-2.88868057521861","4.3349266905024","3.40485157732284",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.83227781263571","1.41411798058979","11.2297148236429","5.35740325126351","13.8263195479763","3.92498382161573","21.3905283931066","14.3624414692681","0.426354784529209","12.7522870887171","5.60074465808154","2.72454336394854","1.45131466009755","2.26031420130452","2.64700320195786","1.18922812838034","3.911603419423","-2.35110067344623","-20.6999999939715","",
"Africa Western and Central","AFW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","1.85487168447602","3.77284536412449","7.27861174959853","5.41081209675977","4.08166643454422","-1.77993439525208","-9.55534721125917","1.45710930216502","15.5390560125118","17.9158638621558","10.8064771074892","3.15885679073853","4.22240350239238","10.244207603761","-2.17940461667418","8.55622749668467","4.74219246686842","-2.19352451851663","5.21574510265033","2.04325018158301","-6.97417630330321","-3.37784595142563","-6.56295610294406","0.561473537633631","5.55525952832777","1.40576660890888","1.45761919583498","4.86777711186279","2.27527227691749","6.57937533604868","1.11025298118852","2.69219687006643","-1.20176347950796","-0.274994091812502","1.92952930459649","4.63841522233868","4.25520630696785","3.48389457056271","1.42026415308563","3.73268736998955","5.20515985615975","9.9208206317428","5.53566651848452","7.99978031070989","5.82777885620902","5.37503208954757","5.52712499533692","6.28031122553536","6.28446832639457","6.97099925870907","4.85286607801936","5.13756586444916","6.10974052675914","5.92946271601909","2.75004189959461","0.125435031698601","2.31321864896839","2.81314221429167","3.21240714716862","-0.927799548509384","3.98084832830041","3.76275849070855",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-4.40000121865044","0","4.20000142853745","6.00000216509061","3.49999949008624","2.90000174246859","4.08274863510718","6.12889047765088","0.0416214618374653","-3.45009868500253","0.991359302044742","-5.83828073313141","-23.9834174420578","1.33936343647991","15.0000000288634","13.5443697551026","7.27427735460373","4.69114645093552","2.18148971840458","3.05462423430785","4.2059985561951","13.6656887608562","2.99000000000001","10.95","15.03","11.55","14.0100000000001","11.17","0.860000000000284","4.398375937818","3.47205314798103","8.54210707584141","4.95461303112738","4.82255926962156","0.943571561325001","-2.5801112218828","-0.147149825449205","-1.31636168896895","-0.702272957616017","-5.63821471714934","1.19921052145153","3.04540300954928",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563529228122","2.94859680118948","1.10493826195044","-1.25159664405811","1.78064395924903","5.63724317852112","-0.787842654927246","-1.42003965566391","9.83654897187228","-9.57564016993415","-28.0021416559099","-7.18711091500037","9.5594116849315","8.30286659699671","13.322333321684","9.09999943646361","-10.9199840781391","8.82942375839806","12.8908036407763","6.94621659244254","8.29331263121023","4.53652416035675","5.52863746491788","5.51466791097914","5.52642424695465","5.90265903591924","5.98325951855567","7.50004143020151","3.35428934987461","3.70693815255319","2.54540614450104","1.4172427999078","1.00201754071108","1.77444885260394","2.21872637517804","3.31498068384137","3.80259872019053","4.01934561695576","2.08771199649604","-3.30208203862541","8.90852781831182","4.84423589539303",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946536113831","8.14974348780973","7.78846720332223","5.6187897289272","0.54220565931233","3.30378704601691","2.83857556823506","1.46300017891366","0.0415571952087532","2.20872761127492","-0.132474510851083","1.24646111073419","1.77011831683124","1.78468668995906","2.32143303367481","3.2533217762911","5.54712217080133","5.0943262031371","4.82703425038704","3.78138758571333","2.54600352375863","0.929214040125956","-1.03148438999895","2.3831822482118","2.75750161326249","4.64973866754707","9.06767205144135","3.19479339289236","4.0990789217793","3.52836236122388","8.11935772169949","4.54636221364653","8.69420371612468","8.13567633837351","5.39779598500422","4.80868869916921","1.55318814103222","-5.55918636850581","-5.30284654348291","-1.97495799965345","-0.00806975341139093","-4.97444371853503","-3.54759651549344","2.50446552114518","1.43414039522716","3.70967806978986","0.346071889630295","1.58876549046354","2.01554763848308","-11.1839399355384","8.28719978108489","8.80957934841771",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","15.7378108761952","8.11809307299536","-0.593563905303014","10.9960012680075","9.04993182964111","3.37403643798785","-8.28280775338257","-6.20795757702724","1.32749520116474","-2.01349243927615","4.48333551851508","-0.0821038740792233","5.81582794989288","2.19398663827471","12.0542183450358","2.43468813594578","5.15099135223525","3.13955448695511","3.31871305651097","3.00813681222493","4.73644203487416","4.71801036354972","5.12620456613537","1.8544477378023","6.56708335198375","1.74480280015523","0.714608479725982","4.8960224600352","8.83014893074198","5.50528667403016","6.10250240928092","4.55829976789688","5.54839402383294","0.388871582444338","4.72885546403366","3.51258679187201","5.14206340636956","2.61880954923355","2.43032786822792","3.44887817423516","3.6887252509254","1.21868760718675","2.44779469436183","1.37770318410186","-5.07259512082496","3.56360998164426","5.96274507818089",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268565060148","21.4393301701989","-1.58960331991595","20.9235730770152","23.874774910498","4.65917667406515","-6.71931618570784","-4.7458206999658","4.0169512795941","-3.59447651736838","-14.9581365645327","3.38198170900878","-2.61890770383279","12.33789128226","18.3279855336405","0.860081945778219","3.3449448618412","1.26119095149724","6.89614855052668","6.68788646362944","5.79840406132159","8.1903986407705","0.291994348685435","2.90221364464598","10.8527042125986","1.3990850303263","2.43345681036156","8.80054081486432","9.56643663716162","4.85514119630905","9.83731977348489","3.1843901736724","3.19183627610384","-5.2429219066759","1.60285004831249","6.92850859456968","4.77662573440196","5.05555965807969","4.16569184064922","6.78677287656618","5.56149075979933","0.735068713941203","1.31391388153578","1.10834813453296","-4.95705243303316","3.91629607562494","7.41110320184745",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287621933","-0.852021521903339","-5.30819682539126","10.1302976615431","10.5694333376394","-0.659726170629824","3.19199662339177","4.82250077932424","9.67952601078326","3.04564331917115","5.65813108184925","1.62841651825939","2.81175403849035","5.5338043957736","-0.0284121037110907","-2.01825151683394","6.93414775653342","-4.50612480201359","10.2227634638681","1.51878394990179","-5.18978914135593","-0.735659159103619","4.34909327926756","1.57073870182023","-5.18902435343904","6.15337706275693","2.70486882770558","-1.08993334133791","-7.15694965597953","-2.46721377810472","9.13311056738961","7.93729155643076","8.20697907221228","5.83620070368526","-2.84520961057079","5.52668982715234","8.1110467707457","3.85017885156228","-3.38545704063269","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330068152","8.85165992013437","8.04715150043027","9.00765087504757","4.05723310346406","-5.91852507634947","10.1253981561002","6.00395169280579","-1.0264204544321","2.40532378079436","-2.51261532081394","2.73115982828944","-2.08032784377811","2.81850297775918","-2.61739646282038","-2.00086100285785","-9.94323513446069","10.3982494646904","5.2430444992488",
